Blackburn Nott'm_Forest 2 1
Brighton Wolves 1 0
Derby Brentford 0 0
Fulham Norwich 2 2
Ipswich Burton 2 0
Leeds Wigan 1 1
QPR Bristol_City 1 0
Reading Aston_Villa 1 2
Cardiff Sheffield_Weds 1 1
Preston Huddersfield 3 1
Burton Birmingham 2 0
Aston_Villa Fulham 1 0
Brentford Barnsley 0 2
Bristol_City Blackburn 1 0
Huddersfield Derby 1 0
Newcastle Ipswich 3 0
Norwich Preston 0 1
Nott'm_Forest Cardiff 1 2
Rotherham Reading 0 1
Sheffield_Weds QPR 1 0
Wigan Brighton 0 1
Wolves Leeds 0 1
QPR Brentford 0 2
Barnsley Bristol_City 2 2
Blackburn Wolves 1 1
Brighton Norwich 5 0
Cardiff Wigan 0 1
Derby Sheffield_Weds 2 0
Fulham Huddersfield 5 0
Ipswich Rotherham 2 2
Leeds Burton 2 0
Preston Newcastle 1 2
Reading Nott'm_Forest 2 0
Birmingham Aston_Villa 1 1
Brentford Fulham 0 2
Aston_Villa Blackburn 2 1
Bristol_City Brighton 0 2
Burton Barnsley 0 0
Huddersfield Birmingham 1 1
Newcastle Cardiff 2 1
Norwich Leeds 2 3
Nott'm_Forest QPR 1 1
Rotherham Preston 1 3
Sheffield_Weds Ipswich 1 2
Wigan Reading 0 3
Wolves Derby 2 3
Brighton Aston_Villa 1 1
Barnsley Wigan 0 0
Birmingham Bristol_City 1 0
Blackburn Brentford 3 2
Cardiff Huddersfield 3 2
Derby Rotherham 3 0
Fulham Sheffield_Weds 1 1
Ipswich Nott'm_Forest 0 2
Preston Wolves 0 0
QPR Norwich 2 1
Reading Burton 3 0
Leeds Newcastle 0 2
Barnsley Nott'm_Forest 2 5
Aston_Villa Cardiff 3 1
Brentford Birmingham 1 2
Brighton Fulham 2 1
Derby Norwich 1 0
Ipswich QPR 3 0
Newcastle Blackburn 0 1
Preston Burton 1 1
Reading Bristol_City 2 1
Rotherham Leeds 1 2
Wolves Sheffield_Weds 0 2
Huddersfield Wigan 1 2
QPR Wolves 1 2
Nott'm_Forest Newcastle 2 1
Birmingham Barnsley 0 3
Blackburn Huddersfield 1 1
Bristol_City Ipswich 2 0
Burton Rotherham 2 1
Cardiff Brighton 0 0
Fulham Reading 5 0
Leeds Aston_Villa 2 0
Norwich Brentford 5 0
Sheffield_Weds Preston 2 1
Wigan Derby 0 1
Brighton Leeds 2 0
Aston_Villa Wigan 1 0
Barnsley Norwich 2 1
Brentford Burton 2 1
Huddersfield Bristol_City 2 1
Ipswich Cardiff 1 1
Newcastle Birmingham 4 0
Preston Blackburn 3 2
Reading Sheffield_Weds 2 1
Rotherham QPR 1 0
Wolves Fulham 4 4
Derby Nott'm_Forest 3 0
Birmingham Ipswich 2 1
Blackburn Brighton 2 3
Bristol_City Brentford 0 1
